contact_uuid,"NPS Question: Based on your experience on your current or most recent assignment, how likely would you be to
recommend [brand] to a friend or colleague?",Comment,Com_code v2,Labels,Class_Label
t09bb949be7784c25943c8fa502b16cb4,0,"The people at Adecco, namely Armeda, has a very bad attitude and is very unprofessional. Every week there is an issue with people getting paid and if we call to get it straightened out, we are given the run around.",Rude staff,neg,0
t7678306926654310a020c19c6953f010,1,I ain’t get paid for my last job at mcCormick.,Problems with payroll,neg,0
t95d271ed59354821b259a204170e688d,8,Adecco has work with me through out the few years am I hv great job and opportunities,Good jobs available,pos,1
t37787fb62ded4276ab158479697914bf,8,amswered questions you the best of ability from my experiences,Good customer service/experience,pos,1
t74e95c3d31e14f55a50043445c461dab,7,Good work ethic,Professional staff,pos,1
t6e087fcd8fc443418a5dde1ab04ad83b,1,There is lack of coordination between Adecco and my employer (Google).,Poor communication,neg,0
te2c3b8f03d4840349a272eac05d4f1a1,8,They’re the truth.,Good customer service/experience,pos,1
t200be197a64a43c68d9931eb5ed98866,3,"Lack of Communication, Lack of Oversight",Poor communication,neg,0
tccb06ea5583641ca9120167faa73dbb2,4,"Adecco has not been very visible as an employment partner. Occasionally when I reach out with concerns or issues, there is slow response time and I'm forced to follow it up with other Adecco representatives or the general adecco email.",Lack of Responsiveness,neg,0
t8728a3498a684a78a4106592ff1c2ebc,7,My experience  with adecco,Good customer service/experience,pos,1
taba3bf9dd9e843328877f72a996e03bd,3,From the beginning it was always an issue.. Amir put on the wrong information and i got paid the wrong amount then stated i cant get it back at that moment i need to wait until tax time. Also after that every week i wasnt receiving my check and i had yo come into the office all the time. Was also fired for not being at work when the one day i didnt come to work i had a court note which they stated would be excused. My whole training class had to wait util the following week because our times werent submitted .When i asked for documentation of proof of employment It was never provided. Also every on received a warning that they had to sign if they missed a day and i didn’t recite anything but a call stating just don't come in while i was leaving court which i did let my trainer know,Problems with payroll,neg,0
t73f1223e631c4dbeba584d3845e13a21,8,My experience with Adecco has been positive.,Good customer service/experience,pos,1
tf042374215494b619650d6adf20219d8,0,"Carmen and alice was horrible supervisors, wrongful termination and was lied on and not once did either women come to me and asked what happened. I was sexually harrassed AND I GOT FIRED!!!!! YALL THINK IM GONNA REFER A FRIEND TO PLACE THAT DID THAT TO ME AND I HAVE WITNESSES THAT I WAS SEXUALLY HARRADSED AT MANN AND HUMMEL BUT CARMEN IS TO BUSY CATERING TO ""CERTAIN"" SUPERVISORS AT THE COMPANY SHE WONT EVEN CALL OR EMAIL YOU BACK NO TEXT FOR WEEKS BONUS PAY NEVER GOT PUT IN NEVER PUT MY RAISE IN EXCEPT RIGHT BEFORE SHE TEXTED ME THAT MY ASSIGNMENT WAS COMPLETE DUE TO THE SEXUAL HARRASSEMNT SITUATION WITH A SUPERVISOR NAMED PAUL ON 3RD SHIFT WHO IS STILL DOING IT!!!!! SORRY THIS IS THE MOST HONEST ANSWER YOU WILL EVER GET, LISTEN TO YOUR EMPLOYEES OR WORD OF MOUTH AND A CALL TO CORPORATE in new York can be a bad day....",Poor job fit/experience,neg,0
tda9ee17faf4f41228d8d06acdad700fc,0,Lack of communication. Switched the WHOLE staff at my closest location and no one knew about anything the employees had going on. No Information was passed between the two parties. No replies on emails and no phone calls back,Poor communication,neg,0
t9beeb57ff47f4c47aadc626ad29f1caf,8,Just great service thru a temp agency.,Good customer service/experience,pos,1
tcc5938b2d866449caf79fc6648bc3af0,8,Just how I felt was acurate,Good customer service/experience,pos,1
tdbeb679e7c2743698449d1d2243b19dd,0,Poor customer service,Poor service/experience,neg,0
t08a825eb79f148ed84db745825426343,0,I was terminated from the site. And when I asked the manager of the side he said it had nothing to do with my work ethic and that I was an excellent worker. he also said that a addeco knows why I was terminated. When I asked Adecco they told me that no reason was given. So someone is lying. Adecco wouldn't give me any other answer except that.o believe Adecco knows why,Poor job fit/experience,neg,0
t90b36084142c4bc8bbcbc961dea83c84,4,"There have been various reasons why I have submitted this score/ rating for Adecco. The first being the difficulty of getting in touch with representatives for even the most minor tasks. On one occasion I have requested copies of both the workers compensation form that I had filled out, as well as copies of the injury reports from the same injury. On all three occasions I requested copies, I was told how I would receive them by end of shift, and received nothing. This is on boarder of violation CA labor code 3820 (a) .",Lack of Responsiveness,neg,0
